gear,rpm_center,pedal_center,n_samples,eng_torque_mean,eng_torque_p50,eng_torque_p75,axle_torque_mean,cyl_airmass_mean,cyl_airmass_p50,airflow_mass_mean,map_kpa_mean,ve_mgk_kpa_mean,ve_airflow_mean,spark_mean,spark_p50,knock_p95,lambda_eq_mean,coverage_ok
5,1825.0,2.5,129,-1.6082166669232556,-7.2318695125,19.3475984866,-57.80178366771163,0.0962076166666666,0.0868607414,12.569237546726358,4.131934731676744,1311.277116197997,15.93522141605814,19.39451605280388,14.0,0.0,1.8558209602534887,True
5,1825.0,7.5,133,41.58964964104662,39.8828125,67.5490485464,25.58666634650827,0.1342808770842105,0.128625,18.98275869322707,4.615824370081203,1333.961032343378,18.39671450719023,22.723573879562405,15.0,0.0,1.6466084895375943,True
5,1825.0,12.5,127,55.098762820929146,54.8623872823,90.09909437185,193.1280737822788,0.2156016719307087,0.2373266461,26.5538160800811,5.38029722354882,1425.5748231376665,24.439779248498425,21.81819496331339,25.0576923077,0.0,1.363579380011024,True
5,1825.0,17.5,142,141.61166889260986,143.7349894282,167.410815949175,288.48304397068097,0.3374253314830986,0.35680165685,36.33224477021619,7.540834286002113,1590.48575171009,37.101550146936624,16.963955248408453,22.185,0.0,1.116584457092958,True
5,1825.0,35.0,435,348.8427018045503,355.772915008,357.10315943545004,789.4049732734666,0.6942894561783909,0.6934140625,88.39498011143954,14.358880790151495,1980.5129369028296,89.30409937500231,9.469501481710344,9.5,0.0,1.0022129030675864,True
5,2075.0,2.5,35,-15.30004524200571,-28.2622719227,-18.0521514161,31.877187837717145,0.1295168252342856,0.1229257813,20.952323871140003,3.85214499698,1320.1017492729088,17.491381654137143,24.49620777834572,20.34,0.0,0.9960200124000004,True
5,2075.0,7.5,39,7.834294484846152,6.7438555283,18.41256467865,62.51011452171027,0.1539389194692307,0.1481577778,24.650188057215384,4.232390305912821,1344.4784286581153,19.52899334275128,23.95493583408461,18.9285714286,0.0,1.0490264892589742,True
5,2075.0,12.5,125,61.65364199724321,59.2530467048,89.9939763435,123.8316540151696,0.1930208056664,0.1916664894,29.813926954372,5.0940607693984,1413.7276278060751,24.444911367266403,35.2156084691984,35.33,0.0,1.0148319591192,True
5,2075.0,17.5,369,185.93088175260183,180.0940378289,213.0397288861,403.3804634329038,0.349558221913008,0.3464928862,49.05566678657832,8.364583449853658,1682.4357979066556,45.95491738053821,28.66473474990596,26.5,0.0,1.0195951480761518,True
5,2075.0,22.5,150,254.48802525526136,262.63600242845,268.228727384525,462.80277057966,0.4758429627866667,0.4829132883,60.98402146980866,10.119963600998666,1750.9250353840032,58.93896298164133,17.708114259772,19.5,0.0,1.0010277737766666,True
5,2075.0,27.5,135,354.9219442259956,357.9656730098,367.8376916432,815.2403471720829,0.6937478297762963,0.6983266667,86.81204022163853,12.95385642751926,1924.919656406759,87.96231962795335,11.999452695432591,11.5,0.0,0.9679373679355554,True
5,2075.0,35.0,675,355.1367362098639,364.302184259,372.67622327305,829.3472563069631,0.6993754514259259,0.698912234,94.45319601632607,14.073037680640889,1932.783734123212,95.15782181489868,10.381153335805331,11.0,0.0,0.9965120408714074,True
5,2325.0,2.5,31,49.08508805230322,62.3960658482,66.85084751675,166.3388517662645,0.1875661371612903,0.1520964612,52.22049400325808,6.2050495390870966,1463.3366761697384,56.37768990843225,31.931717536812908,44.5,0.0,0.9967988761,True
5,2325.0,7.5,46,31.326965777395657,17.192685663749998,19.883025027175,144.73078012783262,0.16187300625,0.1421714527,36.41609480425434,5.078014066230434,1396.943663012043,36.50287772617826,24.26171331827173,21.78571428575,0.0,1.01355229253913,True
