gear,speed_center,pedal_center,n_samples,eng_torque_mean,eng_torque_p50,axle_torque_mean,cyl_airmass_mean,cyl_airmass_p50,airflow_mass_mean,map_kpa_mean,ve_mgk_kpa_mean,spark_mean,spark_p50,knock_p95,lambda_eq_mean,coverage_ok
5,46.25,12.5,387,100.40394361284135,99.6583542957,213.67455284424008,0.22681475414418603,0.2278955696,22.747232696041085,5.96568730488553,,32.45774436156202,32.3018867925,0.0,0.9824152553322998,True
5,46.25,17.5,3400,121.96895046507974,113.9682340629,254.14838685889498,0.2662683637505294,0.26387499295,27.09623823977318,6.585526137612176,,29.869025391034974,29.5,0.0,0.9922991639377059,True
5,46.25,22.5,463,219.8002754082097,222.5592433481,594.1350785389598,0.43349174542872576,0.4383181818,53.598943080841245,9.503663696668035,,21.68685639876177,21.5,0.0,0.9917838873060476,True
5,46.25,27.5,107,243.20202370443457,242.6999535891,791.6973323855644,0.4547125258850467,0.4461340909,64.71750247334954,10.171512684622428,,17.22691600435514,24.0,0.0,0.9963285888570093,True
5,48.75,17.5,2147,145.3682032383447,145.4867945706,320.7087278052823,0.30164809974131346,0.3009799383,33.76816582004849,7.449578706900465,,28.252339002702,28.5,0.0,0.9944010134082439,True
5,48.75,22.5,563,191.20272311530834,206.4772600446,482.6513117579304,0.4030253285175844,0.4040227695,53.738747518568736,9.323596506394672,,20.387588756489876,22.1145833333,0.0,0.9928215146285969,True
5,48.75,27.5,156,241.60375142627433,254.56066031485,779.1225355569064,0.47593925951987176,0.476126956,66.46298524708654,10.255596741446794,,22.00980860632372,21.5,0.0,0.9948700914506412,True
5,48.75,35.0,51,278.09108444513726,278.0369100765,832.9783898282843,0.5064869525156862,0.5090957792,71.61625714648628,10.727930141274506,,20.698094506488236,20.5,0.0,0.9961257907294118,True
5,51.25,2.5,40,-7.09479011292,-6.99557620265,-73.68175318541249,0.1015208414175,0.10026131685,4.5980730176625,3.7189574182625003,,8.7836812609625,8.5,0.0,1.9999694824000003,True
5,51.25,17.5,1021,173.84120620381069,174.1818801975,422.6994686158989,0.3402434258498531,0.3401464592,40.41826022523829,8.415701956232418,,26.46938081999814,26.5,0.0,0.9982129084404505,True
5,51.25,22.5,24,217.40851489582505,217.30711146765,584.3739250963832,0.4174635006583333,0.41711407990000005,56.10396333653333,9.8306483180125,,22.772264070725,22.8033876501,0.0,0.9956636428791666,True
5,51.25,27.5,256,245.229823263757,249.3111903021,662.0270622214109,0.45435174091953123,0.45558570675,60.5533865167957,10.040264899655858,,22.311064659540627,22.5,0.0,0.9953140787914063,True
5,51.25,35.0,301,292.33051361575053,298.4026899687,877.2167840186788,0.5427934950700998,0.5397084942,78.65271911860964,11.041052084627907,,19.208388797597344,20.5,0.0,0.9926790473076411,True
5,53.75,27.5,187,260.7610058225631,257.0547405432,712.4734213102133,0.47755866595133695,0.4758913934,67.25717058263905,10.36312319660428,,21.951499556654543,22.0,0.0,0.9965672917160429,True
5,53.75,35.0,248,304.4940745510782,299.26381644435,853.7405150956415,0.5387836063903225,0.534262987,79.09732177967057,10.850477668245162,,20.514644120048388,20.5,0.0,0.9937422238774194,True
5,56.25,35.0,153,323.3966157307752,349.308984375,954.0913410360145,0.5948206746738562,0.6169407895,90.52161360025032,11.452061175283008,,19.158173023106535,18.5,0.0,0.9949192826117647,True
5,58.75,35.0,71,376.6924858577677,376.8929303279,1059.3899647980577,0.6199338130309858,0.6191666667,101.29992074433378,12.210639109554931,,18.833283905112676,19.0,0.0,0.9963647742239433,True
5,58.75,45.0,22,402.4385124502364,402.7710161053,1167.3667870034772,0.6826366525363636,0.68286784955,110.84666103762726,12.727889553104545,,15.365600785772727,14.5,0.0,0.9962988293727274,True
5,58.75,55.0,52,408.62976245864616,408.62768817205,1257.3845872155214,0.7355501361865385,0.7344026639,122.85189132333272,13.570732859034614,,13.622107349173076,14.655000000000001,0.0,0.9983142079076924,True
5,61.25,17.5,124,142.25157001922585,147.55217337099998,291.8440052759379,0.35086472389354845,0.3615420402,36.173370975646776,7.732894868784678,,16.281853128350807,22.185000000000002,0.0,1.0573118793435488,True
5,63.75,2.5,91,-12.235199389025276,-16.8311060855,-91.81202414764068,0.08965683528681319,0.0867362167,10.491545377153846,3.9865575429483515,,13.594277334506595,13.5,0.0,1.9999694824000003,True
5,63.75,7.5,51,34.09907924410196,28.481436287,13.626678725311764,0.12492905068627452,0.119875,18.53326227951961,4.52817372169804,,10.63729562413137,12.5,0.0,1.9999694824000005,True
5,63.75,17.5,188,190.31468235203027,204.1980365954,452.56321860344053,0.37738373495585104,0.39448477564999995,50.96746402157287,8.310047635855318,,24.334356319425,25.49056603775,0.0,1.0870448837414892,True
